ID_UTILISATEUR,SECTEUR_ACTIVITE,EMAIL,TELEPHONE,PAYS_UTILISATEUR,DATE_DEBUT,DATE_FIN,EST_ACTIF
4,TECHNOLOGY,mail@test.com,0000,USA,2025-12-08 13:57:15,9999-01-01 00:00:00,Y
6,TECHNOLOGY,mail@test.com,0000,USA,2025-12-08 13:57:15,9999-01-01 00:00:00,Y
10,TECHNOLOGY,mail@test.com,0000,USA,2025-12-08 13:57:15,9999-01-01 00:00:00,Y
5,FINANCE,mail@test.com,0000,UK,2025-12-08 13:57:15,9999-01-01 00:00:00,Y
7,FINANCE,mail@test.com,0000,UK,2025-12-08 13:57:15,9999-01-01 00:00:00,Y
8,FINANCE,mail@test.com,0000,UK,2025-12-08 13:57:15,9999-01-01 00:00:00,Y
1,HEALTHCARE,mail@test.com,0000,GERMANY,2025-12-08 13:57:15,9999-01-01 00:00:00,Y
2,RETAIL,mail@test.com,0000,FRANCE,2025-12-08 13:57:15,9999-01-01 00:00:00,Y
3,RETAIL,mail@test.com,0000,FRANCE,2025-12-08 13:57:15,9999-01-01 00:00:00,Y
9,RETAIL,mail@test.com,0000,FRANCE,2025-12-08 13:57:15,9999-01-01 00:00:00,Y
